window_start,window_end,action,is_drift,final_error_rate,processing_time_s
7000,7100,Rebuilt,True,0.6599999999999999,59.532896995544434
7100,7200,Updated,False,0.31000000000000005,0.00903010368347168
7200,7300,Rebuilt,True,0.63,59.586599349975586
7300,7400,Updated,False,0.5,0.008790016174316406
7400,7500,Updated,False,0.5900000000000001,0.008944511413574219
7500,7600,Rebuilt,True,0.86,67.71041178703308
7600,7700,Updated,False,0.41000000000000003,0.007899999618530273
7700,7800,Rebuilt,True,0.61,17.05842900276184
7800,7900,Updated,False,0.48,0.010384082794189453
7900,8000,Rebuilt,True,0.89,20.477095365524292
8000,8100,Updated,False,0.7,0.008190631866455078
8100,8200,Rebuilt,True,1.0,63.01813101768494
8200,8300,Updated,False,0.71,0.009444236755371094
8300,8400,Updated,False,0.6799999999999999,0.011620759963989258
8400,8500,Updated,False,0.6699999999999999,0.008378267288208008
8500,8600,Updated,False,0.52,0.009218215942382812
8600,8700,Updated,False,0.5800000000000001,0.009294986724853516
8700,8800,Updated,False,0.65,0.010119438171386719
8800,8900,Updated,False,0.74,0.01158285140991211
8900,9000,Updated,False,0.6,0.010311365127563477
9000,9100,Updated,False,0.55,0.00850677490234375
9100,9200,Updated,False,0.5900000000000001,0.009202718734741211
9200,9300,Updated,False,0.43000000000000005,0.012445926666259766
9300,9400,Rebuilt,True,0.65,56.03194618225098
9400,9500,Rebuilt,True,0.79,81.21495032310486
9500,9600,Updated,False,0.79,0.009000301361083984
9600,9700,Updated,False,0.55,0.011992216110229492
9700,9800,Rebuilt,True,0.84,20.51986575126648
9800,9900,Updated,False,0.09999999999999998,0.0074198246002197266
9900,10000,Rebuilt,True,1.0,19.1269211769104
10000,10100,Updated,False,0.94,0.006999492645263672
10100,10200,Rebuilt,True,1.0,15.231709003448486
10200,10300,Updated,False,0.69,0.005994319915771484
10300,10400,Rebuilt,True,0.94,55.376495361328125
10400,10500,Updated,False,0.95,0.00604701042175293
10500,10600,Updated,False,0.38,0.009000301361083984
10600,10700,Rebuilt,True,0.64,102.68452000617981
10700,10800,Rebuilt,True,0.77,103.87546682357788
10800,10900,Updated,False,0.52,0.01000213623046875
10900,11000,Updated,False,0.39,0.012035369873046875
11000,11100,Rebuilt,True,0.53,59.82276916503906
11100,11200,Updated,False,0.54,0.010998010635375977
11200,11300,Updated,False,0.61,0.010000467300415039
11300,11400,Updated,False,0.6,0.012053489685058594
11400,11500,Updated,False,0.48,0.009000062942504883
11500,11600,Updated,False,0.56,0.010584831237792969
11600,11700,Updated,False,0.6699999999999999,0.009992599487304688
11700,11800,Updated,False,0.6599999999999999,0.010999202728271484
11800,11900,Updated,False,0.6,0.011999130249023438
11900,12000,Updated,False,0.6,0.010985612869262695
12000,12100,Updated,False,0.48,0.01000213623046875
12100,12200,Updated,False,0.56,0.010998249053955078
12200,12300,Updated,False,0.45999999999999996,0.009007453918457031
12300,12400,Updated,False,0.52,0.012054443359375
12400,12500,Rebuilt,True,0.65,60.15110492706299
12500,12600,Updated,False,0.6599999999999999,0.007832050323486328
12600,12700,Updated,False,0.73,0.009029150009155273
12700,12800,Updated,False,0.6799999999999999,0.009078264236450195
12800,12900,Updated,False,0.69,0.008373498916625977
12900,13000,Updated,False,0.73,0.010170936584472656
13000,13100,Updated,False,0.5700000000000001,0.009276866912841797
13100,13200,Updated,False,0.5700000000000001,0.009009599685668945
13200,13300,Updated,False,0.49,0.01145029067993164
13300,13400,Rebuilt,True,0.6799999999999999,63.359153747558594
13400,13500,Updated,False,0.6599999999999999,0.008819341659545898
13500,13600,Updated,False,0.64,0.011507749557495117
13600,13700,Rebuilt,True,0.76,11.468705654144287
13700,13800,Updated,False,0.36,0.007990360260009766
13800,13900,Updated,False,0.32999999999999996,0.009599924087524414
13900,14000,Rebuilt,True,0.7,51.11242866516113
14000,14100,Updated,False,0.7,0.010038137435913086
14100,14200,Updated,False,0.51,0.009997129440307617
14200,14300,Updated,False,0.32999999999999996,0.009328126907348633
14300,14400,Rebuilt,True,0.44999999999999996,54.655227184295654
14400,14500,Rebuilt,True,0.7,57.85286235809326
14500,14600,Updated,False,0.62,0.007044553756713867
14600,14700,Updated,False,0.5,0.010880470275878906
